model,bucket,n_quotes,price_rmse,price_mae,price_max_abs,iv_rmse_bps,iv_mae_bps,iv_max_abs_bps
Heston,all,35,0.08246315292449592,0.057166922623896735,0.21331109299527284,20.90674106572294,16.731107311850316,41.37478009240636
Heston,atm,5,0.1104893366928128,0.07753926764872601,0.21331109299527284,21.221227056066798,16.242337226099302,38.97313673194097
Heston,downside_wing,15,0.07378733091409932,0.053288779846043376,0.180455507067375,19.786033816558124,16.4391424706055,34.70559512192328
Heston,upside_wing,15,0.0797069570335477,0.054254283726807004,0.18204595470848606,21.86962028011472,17.185995515012134,41.37478009240636
ESSVI local-vol proxy,all,35,0.012550070425944257,0.010525959443046637,0.023232345389473608,6.711154785392994,4.640334684432931,21.939623818956754
ESSVI local-vol proxy,atm,5,0.002689669040562273,0.0022453349462579373,0.004781548846349182,0.5732374798219687,0.5348516438237749,0.8734394941645185
ESSVI local-vol proxy,downside_wing,15,0.016099819033149075,0.014739664983343797,0.023232345389473608,8.122587455173733,6.2948375095338385,21.939623818956754
ESSVI local-vol proxy,upside_wing,15,0.010290497811491238,0.00907246206834571,0.017152199380157995,6.245513263279838,4.354326206201742,19.12942802772266
Direct local-vol PDE,all,9,0.02432277894486371,0.01789554589803933,0.04411742059661705,5.426199934047997,4.50518499960849,8.058582392638513
Direct local-vol PDE,atm,3,0.030825072561191297,0.025232527144881,0.04411742059661705,6.4260743032897505,5.492029136678437,8.058582392638513
Direct local-vol PDE,downside_wing,3,0.006623930744793409,0.005277123968575381,0.010581394384406195,1.626925809159379,1.5478672108931724,2.2248410167544086
Direct local-vol PDE,upside_wing,3,0.027941567062131432,0.023176986580661602,0.04138254293536825,6.662553461915161,6.475658651253862,7.799555816969949
